quantile	chr	peak_id	chrStart	strand	sec_peak	normalized_eob	log10p_val	imbalance	D_D	N_N	D_N_N_D	T_N_N_T	T_D_D_T	T_T
2	chr3L	peak_2987_5	chrStart	+	54	34.0693069306931	0.546027614526107	01_NOT_SIG	25.74	15.84	27.72	2.97	25.74	1.98
2	chr3L	peak_1297_1	chrStart	+	69	34.1120805369127	0.551666744367354	01_NOT_SIG	18.12	24.83	21.47	3.35	28.86	3.36
3	chr2R	peak_87_1	chrStart	+	35	65.7857142857143	3.86917632054445	03_NOT_IMB	33.71	33.71	18.29	3.43	7.43	3.43
3	chr2R	peak_917_2	chrStart	+	126	69.2378048780488	2.24653306700103	02_IMB	0.0	42.68	39.03	13.42	1.22	3.66
2	chr3L	peak_89_2	chrStart	+	100	48.936170212766	0.900522345061804	01_NOT_SIG	34.04	6.38	10.64	11.35	29.79	7.8
2	chr2R	peak_1442_4	chrStart	+	78	49.9930434782609	1.85389874879008	01_NOT_SIG	74.78	3.48	6.09	3.48	9.57	2.61
2	chr2L	peak_1346_6	chrStart	+	81	36	1.05715231198996	01_NOT_SIG	56.12	16.33	9.18	5.1	11.22	2.04
1	chr3L	peak_301_2	chrStart	+	97	0	0.447002970690951	01_NOT_SIG	3.45	56.32	27.59	9.2	3.45	0.0
1	chr3L	peak_3842_3	chrStart	+	40	15.5479674796748	0.372089300502239	01_NOT_SIG	70.73	0.81	5.7	0	21.95	0.81
2	chr3R	peak_729_1	chrStart	+	98	43.5928571428571	1.81714300727223	01_NOT_SIG	10.71	45.24	33.93	8.33	0.6	1.19
3	chr3L	peak_1631_4	chrStart	+	54	65	2.44889115917137	03_NOT_IMB	4.6	63.22	17.24	6.9	4.6	3.45
1	chr3L	peak_738_9	chrStart	+	58	24.9887640449438	0.252629711915526	01_NOT_SIG	29.21	11.24	14.6	16.85	25.84	2.25
1	chr2L	peak_4710_1	chrStart	+	84	0	0.209935209926368	01_NOT_SIG	48.98	10.2	24.49	2.72	13.6	0.0
2	chr3L	peak_1747_2	chrStart	+	87	29.6782945736434	0.612196554032441	01_NOT_SIG	1.36	53.49	15.12	18.42	9.31	2.33
2	chr2L	peak_5337_3	chrStart	+	94	48.6942148760331	1.30288244318066	01_NOT_SIG	11.57	19.83	35.54	15.71	12.4	4.96
1	chr2R	peak_1636_3	chrStart	+	103	21.2585858585859	0.649948645984858	01_NOT_SIG	71.72	0.0	11.11	2.02	14.14	1.01
4	chr2R	peak_3610_1	chrStart	+	53	76.1925	4.57111283765646	03_NOT_IMB	29.38	43.75	19.37	3.13	1.87	2.5
1	chr3R	peak_466_3	chrStart	+	59	15.3902097902098	0.484517944860617	01_NOT_SIG	59.44	10.49	13.28	3.5	12.59	0.7
3	chr2R	peak_38_5	chrStart	+	48	64.9864864864865	3.36818991524572	02_IMB	42.16	28.65	10.27	0.54	14.59	3.78
3	chr2R	peak_1262_10	chrStart	+	108	74.0689655172414	1.79547537223213	01_NOT_SIG	43.1	3.45	18.97	0	27.59	6.9
1	chr3R	peak_3046_6	chrStart	+	78	0	0.254830078499152	01_NOT_SIG	0.44	65.64	22.47	9.7	1.76	0.0
3	chrX	peak_158_2	chrStart	+	40	58.4364406779661	2.4125556665671	03_NOT_IMB	65.25	16.1	5.93	0.85	9.32	2.54
1	chr3R	peak_49_1	chrStart	+	70	21.875	0.978418673435115	01_NOT_SIG	40.28	31.02	18.98	2.78	6.48	0.46
3	chr2R	peak_1511_7	chrStart	+	30	58.98	2.41307305169333	03_NOT_IMB	67.83	10.43	1.74	0	15.66	4.35
1	chr2L	peak_798_3	chrStart	+	98	0	0.515869181311522	01_NOT_SIG	37.3	23.81	29.37	3.97	5.55	0.0
1	chr3L	peak_3828_1	chrStart	+	57	0	0.128876767068215	01_NOT_SIG	33.64	15.89	28.04	8.41	14.02	0.0
4	chr2L	peak_330_1	chrStart	+	52	80.0219178082192	2.65415273689785	02_IMB	24.66	5.48	4.11	5.48	45.21	15.07
2	chr3L	peak_66_11	chrStart	+	51	32.595652173913	1.40313805247595	01_NOT_SIG	40.8	26.42	16.39	4.69	10.7	1.0
4	chr3R	peak_2473_2	chrStart	+	35	86.6634328358209	4.75867791541874	02_IMB	32.09	38.06	20.15	5.23	1.49	2.99
3	chr2L	peak_226_5	chrStart	+	50	71.4333333333333	3.87083198393901	03_NOT_IMB	69.17	7.5	6.67	0	11.67	5.0
1	chr3R	peak_1605_2	chrStart	+	35	19.784126984127	0.69110239397801	01_NOT_SIG	50.0	20.63	14.29	8.73	5.55	0.79
2	chr3R	peak_3048_6	chrStart	+	79	41.6697247706422	1.4673792141675	01_NOT_SIG	39.45	14.68	32.11	5.51	6.42	1.83
3	chr3L	peak_419_2	chrStart	+	45	51.2170212765957	2.05974489495186	03_NOT_IMB	62.77	5.32	4.79	0.53	21.81	4.79
2	chr3L	peak_287_5	chrStart	+	87	39.5866261398176	1.57876164944904	01_NOT_SIG	45.59	6.38	23.71	3.96	17.32	3.04
2	chr3R	peak_1376_3	chrStart	+	54	40.3578125	1.23656657370486	01_NOT_SIG	71.09	1.56	9.37	3.12	13.28	1.56
4	chr3L	peak_2837_3	chrStart	+	39	78.1294964028777	4.67940706355846	03_NOT_IMB	64.75	16.55	7.92	0.72	6.48	3.6
2	chr3L	peak_3217_1	chrStart	+	153	28.5741176470588	0.955141604164602	01_NOT_SIG	8.24	34.12	43.53	10.59	2.35	1.18
2	chr3L	peak_4029_2	chrStart	+	44	35.895652173913	1.20096826307051	01_NOT_SIG	75.78	2.48	4.35	1.24	14.28	1.86
3	chr3R	peak_489_2	chrStart	+	67	65	2.42274926118317	02_IMB	49.4	5.36	29.76	2.39	11.31	1.79
1	chr2L	peak_4710_6	chrStart	+	51	22.45546875	0.393597315253902	01_NOT_SIG	41.41	12.5	20.31	4.68	19.53	1.56
3	chr3R	peak_131_5	chrStart	+	38	66.663829787234	2.67061647407958	03_NOT_IMB	38.3	28.72	20.22	4.25	5.32	3.19
1	chr3R	peak_3256_6	chrStart	+	59	0	0.12532705342068	01_NOT_SIG	67.19	7.03	3.12	1.56	21.09	0.0
2	chrX	peak_5288_3	chrStart	+	107	48.7276923076923	1.08322573233775	01_NOT_SIG	40.0	4.62	26.15	7.7	16.93	4.62
1	chr2R	peak_148_2	chrStart	+	60	0	0.37522411609718	01_NOT_SIG	5.43	58.91	22.48	7.76	5.43	0.0
2	chr3L	peak_2481_3	chrStart	+	160	26.5238805970149	0.732650905965733	01_NOT_SIG	14.93	28.36	37.32	11.94	5.97	1.49
3	chr3R	peak_1792_4	chrStart	+	36	61.5923076923077	2.69907297534152	03_NOT_IMB	13.99	51.75	11.19	9.09	9.09	4.9
4	chr3R	peak_3093_1	chrStart	+	96	90.4822222222222	3.40690824370737	02_IMB	53.33	0.0	4.44	4.44	24.44	13.33
2	chr3L	peak_4893_2	chrStart	+	59	30.7792452830189	0.800255507243032	01_NOT_SIG	61.32	2.83	15.1	0.94	17.93	1.89
3	chr2L	peak_1319_2	chrStart	+	103	65.5	1.46602056814882	01_NOT_SIG	40.15	1.52	8.34	1.52	44.69	3.79
2	chr3L	peak_123_1	chrStart	+	32	41.4870229007634	0.158729664806959	01_NOT_SIG	25.95	6.87	3.05	3.06	59.54	1.53
4	chr3L	peak_103_3	chrStart	+	32	80.4872611464968	4.07694542989802	02_IMB	0.32	57.01	2.23	14.34	22.61	3.5
1	chr3L	peak_2304_2	chrStart	+	123	13.9811320754717	0.727724993358817	01_NOT_SIG	73.58	1.65	15.57	0.24	8.73	0.24
2	chr3R	peak_3756_5	chrStart	+	66	40.1061946902655	1.38029687802922	01_NOT_SIG	16.37	31.86	27.44	11.5	9.73	3.1
1	chr3L	peak_1843_7	chrStart	+	64	12.6013986013986	0.280796118261074	01_NOT_SIG	46.15	7.34	22.73	5.6	17.83	0.35
3	chrX	peak_5288_5	chrStart	+	43	66.1741071428571	2.60703155635862	03_NOT_IMB	54.46	2.68	2.68	2.68	27.68	9.82
2	chr3R	peak_4219_3	chrStart	+	44	43.3425287356322	2.07119675549152	03_NOT_IMB	46.36	19.54	17.24	4.21	10.34	2.3
3	chr3L	peak_1099_9	chrStart	+	57	66.4329411764706	2.56238519005768	03_NOT_IMB	49.41	15.29	12.95	5.88	10.59	5.88
3	chr2L	peak_2219_1	chrStart	+	71	58.7045454545455	1.98776893808205	01_NOT_SIG	19.7	43.18	16.66	4.54	12.88	3.03
2	chr3L	peak_5023_3	chrStart	+	87	30.7728395061728	0.603808540519226	01_NOT_SIG	56.79	0.0	16.05	6.17	18.52	2.47
2	chr3R	peak_521_5	chrStart	+	73	27.2769230769231	1.03112420656124	01_NOT_SIG	18.46	44.62	25.39	6.16	4.62	0.77
4	chr3L	peak_1372_2	chrStart	+	33	93.6815533980582	12.8201329073771	03_NOT_IMB	48.54	1.94	6.79	0	17.48	25.24
1	chr2L	peak_3671_2	chrStart	+	40	0	0.2687244442909	01_NOT_SIG	24.44	50.0	7.77	8.89	8.89	0.0
3	chr3R	peak_4862_2	chrStart	+	50	53.334375	2.1369239166197	03_NOT_IMB	54.69	9.38	26.56	0.78	7.03	1.56
3	chr2R	peak_1574_2	chrStart	+	130	61.5402985074627	1.67540575235273	01_NOT_SIG	40.3	1.49	34.33	0	19.41	4.48
3	chr2R	peak_3013_6	chrStart	+	46	50.0029411764706	2.12390123886408	03_NOT_IMB	4.41	67.65	19.12	4.41	2.94	1.47
4	chr3R	peak_2994_6	chrStart	+	53	84	3.12579436882725	03_NOT_IMB	20.93	58.14	4.65	6.98	2.33	6.98
1	chr3L	peak_1674_4	chrStart	+	74	16.477628032345	0.508862458192349	01_NOT_SIG	7.28	54.58	22.51	11.86	3.23	0.54
4	chr2L	peak_605_4	chrStart	+	49	89.0953488372093	6.07579804934613	03_NOT_IMB	39.53	39.53	4.65	2.33	5.81	8.14
2	chrX	peak_31_5	chrStart	+	53	38.6363636363636	0.997637546989687	01_NOT_SIG	7.79	25.97	44.16	7.79	11.69	2.6
1	chr3L	peak_287_7	chrStart	+	97	11.3770053475936	0.289781603636897	01_NOT_SIG	2.67	26.2	51.33	14.44	4.81	0.53
1	chr2L	peak_546_4	chrStart	+	48	14.728	0.26908909150839	01_NOT_SIG	48.0	6.0	18	4	23	1.0
4	chr2L	peak_1514_1	chrStart	+	42	77.5	8.1690338138892	03_NOT_IMB	42.2	18.35	11.01	2.3	16.97	9.17
3	chr3R	peak_4541_4	chrStart	+	74	61.5495145631068	2.12669668845007	03_NOT_IMB	32.04	5.83	27.18	4.85	22.33	7.77
4	chr2L	peak_3356_2	chrStart	+	43	78.1290322580645	3.91231945487833	03_NOT_IMB	78.49	1.08	4.3	0	10.76	5.38
2	chr3L	peak_342_3	chrStart	+	78	43.1328767123288	0.835839693246579	01_NOT_SIG	42.47	8.22	17.81	5.48	21.92	4.11
4	chr3R	peak_377_4	chrStart	+	45	77.1340909090909	2.46520927903685	03_NOT_IMB	52.27	18.18	9.1	4.55	9.1	6.82
2	chr3R	peak_243_1	chrStart	+	33	36.240522875817	1.11469059485288	01_NOT_SIG	30.07	29.41	21.57	4.57	12.42	1.96
4	chr3R	peak_4405_3	chrStart	+	36	100	100	03_NOT_IMB	39.56	18.68	10.99	0	8.79	21.98
2	chr3R	peak_4389_3	chrStart	+	63	40	1.13091111285062	01_NOT_SIG	75.61	2.44	2.44	0	17.08	2.44
2	chr2L	peak_3573_8	chrStart	+	66	39.0646258503401	1.34488658872381	01_NOT_SIG	51.7	14.29	17	0.68	14.28	2.04
1	chr3L	peak_283_5	chrStart	+	115	13.8407766990291	0.256435735124017	01_NOT_SIG	6.8	17.48	49.52	19.42	5.83	0.97
1	chr3L	peak_164_10	chrStart	+	63	0	0.0395949849144898	01_NOT_SIG	31.03	11.03	4.83	3.45	49.66	0.0
1	chr3R	peak_2463_2	chrStart	+	109	0	0.407829409787407	01_NOT_SIG	59.49	8.23	22.15	2.53	7.59	0.0
1	chrX	peak_998_1	chrStart	+	69	14.0866498740554	0.38321938096547	01_NOT_SIG	48.87	13.6	21.91	2.02	13.09	0.5
3	chr3L	peak_610_2	chrStart	+	48	52.734375	2.00745200533153	03_NOT_IMB	48.44	3.91	26.56	2.34	14.84	3.91
3	chr2R	peak_882_2	chrStart	+	77	59.1978260869565	1.87933100894161	01_NOT_SIG	28.26	20.65	19.57	4.35	20.65	6.52
2	chr2L	peak_1346_1	chrStart	+	79	27.0883720930233	0.877866189389447	01_NOT_SIG	25.58	20.93	38.37	5.81	8.14	1.16
3	chr2L	peak_3415_4	chrStart	+	89	68.5822784810126	2.24887942364812	02_IMB	62.03	6.33	8.86	2.53	15.19	5.06
4	chr2L	peak_1785_3	chrStart	+	35	78.5724358974359	4.84682044750477	03_NOT_IMB	64.1	20.51	8.34	0.64	3.84	2.56
2	chr2R	peak_228_4	chrStart	+	38	40.9117647058824	0.959136531241562	01_NOT_SIG	41.67	15.2	13.72	5.88	22.06	1.47
2	chr3R	peak_697_3	chrStart	+	71	33.8933333333333	0.734713569159672	01_NOT_SIG	62.42	6.06	6.67	0.61	22.42	1.82
2	chr3R	peak_3289_2	chrStart	+	33	33.3333333333333	1.15754105035732	01_NOT_SIG	70.37	4.44	10.37	2.22	11.11	1.48
2	chr2L	peak_1478_2	chrStart	+	65	40.7468085106383	1.03975250893395	01_NOT_SIG	31.91	17.02	27.66	5.32	15.96	2.13
3	chr2R	peak_518_3	chrStart	+	117	64	0.720766800997768	01_NOT_SIG	3.33	16.67	26.67	16.66	31.67	5.0
2	chr2R	peak_1262_4	chrStart	+	92	45.4615384615385	1.30826821232703	01_NOT_SIG	69.23	2.56	8.98	2.56	14.1	2.56
1	chr3R	peak_2090_2	chrStart	+	98	0	0.221135278188253	01_NOT_SIG	20.0	23.53	36.47	14.12	5.88	0.0
1	chr3R	peak_3256_4	chrStart	+	99	23.4393939393939	0.787004133932399	01_NOT_SIG	70.71	5.05	9.09	2.02	12.12	1.01
3	chr2R	peak_3973_5	chrStart	+	44	55.1076923076923	2.41775877445237	03_NOT_IMB	78.85	3.21	6.41	0.64	8.97	1.92
2	chr3L	peak_98_5	chrStart	+	54	32.5049429657795	1.49770105876068	01_NOT_SIG	62.74	12.55	14.83	1.52	7.6	0.76
2	chr3R	peak_3858_3	chrStart	+	93	29.4148936170213	0.562841052066082	01_NOT_SIG	50.0	6.38	17.02	10.64	13.83	2.13
3	chr2L	peak_68_3	chrStart	+	120	54.8495867768595	1.94042683706975	01_NOT_SIG	51.65	2.48	17.77	0.83	24.79	2.48
1	chr2R	peak_3973_2	chrStart	+	67	15.9731034482759	0.530305646205132	01_NOT_SIG	60.0	6.9	17.24	1.38	13.8	0.69
3	chrX	peak_1749_11	chrStart	+	33	59.8823529411765	2.67482764225957	03_NOT_IMB	70.59	5.15	0.74	0.74	17.64	5.15
3	chr3L	peak_1370_2	chrStart	+	47	67.0985765124555	6.16850509965181	03_NOT_IMB	18.86	43.77	19.22	4.98	8.55	4.63
3	chr3R	peak_141_3	chrStart	+	42	54.5496402877698	2.36284732677875	03_NOT_IMB	52.52	25.9	10.07	1.44	7.92	2.16
4	chr2L	peak_3356_2	chrStart	+	64	79.5506849315068	3.66625950683246	03_NOT_IMB	72.6	0.0	8.22	0	12.33	6.85
1	chr3R	peak_1170_4	chrStart	+	37	0	0.173034988510122	01_NOT_SIG	35.76	16.97	29.7	3.03	14.55	0.0
1	chr2R	peak_1104_3	chrStart	+	130	0	0.00927584320265518	01_NOT_SIG	34.33	2.99	11.94	5.98	44.78	0.0
4	chr3R	peak_1647_8	chrStart	+	34	75.009009009009	3.83784634049009	03_NOT_IMB	57.66	12.61	11.71	1.8	10.81	5.41
1	chr3L	peak_4633_3	chrStart	+	84	0	0.252599098124152	01_NOT_SIG	39.13	6.52	28.27	6.52	19.57	0.0
1	chr2L	peak_18_4	chrStart	+	165	13.1146496815287	0.369381699752939	01_NOT_SIG	40.76	14.65	26.11	5.73	12.1	0.64
3	chr3R	peak_2070_3	chrStart	+	37	58.329203539823	2.42764840290139	03_NOT_IMB	7.08	61.95	18.58	3.53	6.19	2.65
3	chr3R	peak_3525_2	chrStart	+	81	53.3364705882353	1.78652959806217	01_NOT_SIG	40.0	30.59	15.29	0	11.77	2.35
3	chr2L	peak_475_2	chrStart	+	116	52.4046511627907	1.67926067094831	01_NOT_SIG	30.23	13.95	26.35	7.76	17.05	4.65
2	chr2L	peak_2191_2	chrStart	+	48	36.5336956521739	1.57949180599657	01_NOT_SIG	2.17	70.65	16.85	8.15	1.09	1.09
1	chr3L	peak_4962_3	chrStart	+	73	19	0.652674784120757	01_NOT_SIG	22.4	47.2	15.2	5.6	8.8	0.8
2	chr2L	peak_134_3	chrStart	+	63	39.5586206896552	1.08585747231565	01_NOT_SIG	41.38	19.54	18.39	3.45	14.94	2.3
1	chr3R	peak_3046_3	chrStart	+	156	0	0.389092688735465	01_NOT_SIG	1.45	35.51	51.45	7.97	3.62	0.0
1	chr2R	peak_1435_3	chrStart	+	50	0	0.31529300111966	01_NOT_SIG	46.58	17.81	17.81	2.74	15.07	0.0
2	chr3R	peak_2362_1	chrStart	+	47	43.60875	2.20976068619517	03_NOT_IMB	10.0	57.08	20.83	6.67	3.75	1.67
1	chr3R	peak_4057_7	chrStart	+	87	0	0.0324182194832574	01_NOT_SIG	15.45	29.09	20.91	12.73	21.82	0.0
3	chr2L	peak_1585_4	chrStart	+	59	50.775	1.17828222979564	01_NOT_SIG	29.81	11.54	21.16	5.77	26.92	4.81
4	chr3R	peak_208_1	chrStart	+	48	84.1171232876712	10.805365185373	03_NOT_IMB	19.52	57.19	14.38	2.39	2.74	3.77
4	chr2L	peak_1385_1	chrStart	+	122	83.8163934426229	2.100146909296	02_IMB	42.62	3.28	18.04	8.2	21.31	6.56
2	chr3L	peak_89_4	chrStart	+	100	30	1.3699277757755	01_NOT_SIG	76.28	1.92	14.11	0.64	6.41	0.64
1	chr3L	peak_1145_6	chrStart	+	103	0	0.432940437947728	01_NOT_SIG	4.82	49.4	32.53	7.22	6.02	0.0
3	chr3R	peak_358_1	chrStart	+	55	70	3.32760517658559	02_IMB	3.82	63.69	23.57	3.18	3.82	1.91
1	chr2R	peak_3243_3	chrStart	+	76	21.25	0.874679454670013	01_NOT_SIG	37.16	21.62	29.73	2.71	8.11	0.68
1	chr2L	peak_3160_5	chrStart	+	57	23.6016666666667	0.414838255627358	01_NOT_SIG	47.5	13.33	10.84	3.34	23.34	1.67
1	chr3R	peak_214_2	chrStart	+	128	0	0.365499962135321	01_NOT_SIG	68.93	1.94	15.54	1.94	11.65	0.0
1	chr3R	peak_345_5	chrStart	+	46	22.095652173913	0.628194837663249	01_NOT_SIG	70.53	5.8	3.38	0.48	19.32	0.48
1	chr2L	peak_1112_12	chrStart	+	57	24.220987654321	0.431908186804348	01_NOT_SIG	20.99	19.75	30.87	6.17	20.98	1.23
2	chr3L	peak_118_4	chrStart	+	81	27.1561643835616	0.486343275954969	01_NOT_SIG	37.67	8.9	24.65	8.21	18.49	2.05
1	chr3R	peak_730_6	chrStart	+	53	23.8125	0.980416876771687	01_NOT_SIG	67.65	2.94	18.38	0.74	9.56	0.74
3	chr2R	peak_3168_5	chrStart	+	41	69.4	2.29880488058222	03_NOT_IMB	67.65	2.94	4.41	0	19.12	5.88
1	chr2R	peak_2021_1	chrStart	+	73	24.9931818181818	0.797691315411326	01_NOT_SIG	1.14	80.68	2.28	13.63	1.14	1.14
1	chr3L	peak_179_1	chrStart	+	130	14.6635983263598	0.534990466077909	01_NOT_SIG	5.02	51.46	29.71	11.3	2.09	0.42
2	chr2L	peak_912_4	chrStart	+	62	41.6697247706422	1.1759676226263	01_NOT_SIG	56.88	11.01	13.76	0.92	15.59	1.83
1	chr2R	peak_1016_5	chrStart	+	69	20.6266666666667	0.186922911300403	01_NOT_SIG	41.67	3.33	11.67	1.67	40	1.67
1	chr3L	peak_287_3	chrStart	+	109	8.57386363636364	0.222375135951756	01_NOT_SIG	65.53	4.17	13.26	2.66	14.01	0.38
3	chr3R	peak_135_3	chrStart	+	33	74.1513888888889	6.27324198675856	03_NOT_IMB	36.11	31.02	19.44	1.85	7.41	4.17
2	chr3R	peak_63_2	chrStart	+	110	41.5542857142857	1.00958965938859	01_NOT_SIG	37.14	18.57	21.43	5.72	14.29	2.86
1	chrX	peak_190_4	chrStart	+	40	24.9846153846154	0.394924894715898	01_NOT_SIG	53.85	7.69	2.56	2.56	30.76	2.56
3	chr2L	peak_3012_6	chrStart	+	43	67.3454545454546	3.18357054640368	03_NOT_IMB	9.92	60.33	20.66	4.13	2.48	2.48
3	chr2R	peak_1923_4	chrStart	+	41	61.3529411764706	2.18598100824346	02_IMB	43.79	5.88	20.92	0	25.49	3.92
1	chr3L	peak_453_5	chrStart	+	99	0	0.234248275258849	01_NOT_SIG	30.08	20.3	33.83	3.76	12.03	0.0
4	chr3R	peak_140_4	chrStart	+	51	94.1181102362205	14.6646099773892	03_NOT_IMB	10.63	61.42	20.08	1.57	1.58	4.72
3	chr2R	peak_2680_4	chrStart	+	34	53.3385826771654	1.57013471620436	01_NOT_SIG	29.92	44.09	2.36	2.36	18.11	3.15
1	chr3R	peak_1127_1	chrStart	+	79	22.0824742268041	0.656705092491902	01_NOT_SIG	71.13	5.15	6.18	3.09	13.41	1.03
1	chr2R	peak_947_1	chrStart	+	34	20.4591549295775	0.604051996644702	01_NOT_SIG	73.24	4.93	2.81	1.41	16.9	0.7
2	chr2R	peak_4182_2	chrStart	+	140	26.5416666666667	0.553822893859395	01_NOT_SIG	45.83	2.08	25	4.17	20.83	2.08
1	chr2L	peak_343_8	chrStart	+	50	22.7903448275862	0.531444664570815	01_NOT_SIG	33.79	28.97	15.86	4.14	15.87	1.38
3	chr2L	peak_1499_1	chrStart	+	190	70.890625	1.34861461975037	01_NOT_SIG	40.62	6.25	12.5	9.38	21.87	9.38
2	chr2R	peak_5469_1	chrStart	+	46	27.0870689655172	1.06286456322765	01_NOT_SIG	72.41	6.03	10.35	0.86	9.48	0.86
3	chr3L	peak_1336_2	chrStart	+	52	65.2254098360656	2.10534900844551	02_IMB	0.0	75.41	4.1	10.66	7.38	2.46
3	chr2L	peak_211_2	chrStart	+	53	74.34875	2.98278056428006	03_NOT_IMB	23.75	18.75	21.25	2.5	23.75	10.0
2	chr3L	peak_1370_6	chrStart	+	111	42.8571428571429	2.31249705349972	03_NOT_IMB	1.16	46.33	46.72	5.02	0	0.77
4	chr2R	peak_3561_3	chrStart	+	35	93.7481012658228	5.96821231555956	03_NOT_IMB	17.72	60.76	10.12	0	5.07	6.33
4	chr2R	peak_2829_2	chrStart	+	55	82.9697841726619	4.46341090279716	02_IMB	59.71	2.88	14.39	0	17.99	5.04
3	chr3R	peak_3619_1	chrStart	+	40	70	2.32861222992578	02_IMB	44.95	22.94	6.42	2.75	18.35	4.59
4	chr3L	peak_2093_2	chrStart	+	69	100	100	02_IMB	13.7	27.41	18.89	3.33	33.33	3.33
3	chr2L	peak_1346_6	chrStart	+	31	74.5104	3.30768584282771	02_IMB	63.2	16.8	4.8	3.2	8.8	3.2
1	chr3R	peak_1599_1	chrStart	+	121	0	0.420081310317809	01_NOT_SIG	0.78	45.74	41.86	8.53	3.1	0.0
3	chr2R	peak_4_1	chrStart	+	45	69.2526315789474	1.56115026264592	01_NOT_SIG	34.21	10.53	7.89	5.26	28.95	13.16
1	chr3R	peak_392_1	chrStart	+	49	0	0.186223333254133	01_NOT_SIG	17.02	14.89	38.3	8.51	21.28	0.0
3	chr3R	peak_1694_1	chrStart	+	57	60.0061224489796	1.69829669956906	01_NOT_SIG	20.41	44.9	16.32	4.08	10.2	4.08
2	chr3L	peak_738_8	chrStart	+	64	47.1322033898305	0.686565843340061	01_NOT_SIG	49.15	1.69	11.87	0.85	33.9	2.54
3	chr2R	peak_2814_1	chrStart	+	52	70.2829787234043	2.22257256974107	02_IMB	53.19	11.35	7.8	2.84	21.99	2.84
2	chr2R	peak_1084_4	chrStart	+	45	43.5955555555555	1.27552010306988	01_NOT_SIG	8.89	53.33	18.89	12.22	4.44	2.22
1	chr2L	peak_3930_4	chrStart	+	39	0	0.0997016514161508	01_NOT_SIG	44.29	12.86	12.85	4.29	25.72	0.0
3	chr2L	peak_1849_2	chrStart	+	36	54.5538461538462	1.32981526167468	01_NOT_SIG	57.34	12.59	4.9	0.7	22.38	2.1
2	chr3L	peak_2610_1	chrStart	+	64	43.9223880597015	1.44766464702924	01_NOT_SIG	35.07	26.87	17.17	3.74	14.18	2.99
1	chr3R	peak_4862_1	chrStart	+	155	0	0.141169816233051	01_NOT_SIG	34.38	6.25	33.34	13.54	12.5	0.0
2	chr3R	peak_1647_1	chrStart	+	116	26.158064516129	0.567614254756321	01_NOT_SIG	58.06	1.61	12.9	3.22	22.58	1.61
2	chr3R	peak_3325_3	chrStart	+	47	28.5711340206186	1.46993197489324	01_NOT_SIG	13.4	67.01	13.4	3.61	2.07	0.52
1	chr3R	peak_16_4	chrStart	+	64	11.7	0.174885327917	01_NOT_SIG	13.14	48.57	12.57	10.86	14.29	0.57
3	chr2L	peak_2085_4	chrStart	+	88	60.0068965517241	2.17821582851168	03_NOT_IMB	73.56	1.15	9.2	2.3	10.35	3.45
