fname	D-D	N-N	D-N-N-D	T-N-N-T	T-D-D-T	T-T	qid	dist
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_3859_6_cobinding.tsv	43.48	10.87	17.93	5.98	20.65	1.09	1	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_160_lex_300_rex_300_site_peak_3583_5_cobinding.tsv	20.0	11.43	52.85	10	5.71	0.0	1	160
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_3583_7_cobinding.tsv	23.33	12.0	40.67	10	12.67	1.33	1	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_95_lex_300_rex_300_site_peak_1782_1_cobinding.tsv	29.12	23.42	39.11	3.66	4.48	0.2	1	95
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_64_lex_300_rex_300_site_peak_1782_2_cobinding.tsv	39.5	26.83	25	3	5.34	0.33	1	64
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_140_lex_300_rex_300_site_peak_1782_2_cobinding.tsv	30.2	15.69	44.31	3.53	5.89	0.39	1	140
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_154_lex_300_rex_300_site_peak_1782_2_cobinding.tsv	33.02	12.09	44.65	3.26	6.51	0.47	1	154
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_76_lex_300_rex_300_site_peak_1782_3_cobinding.tsv	42.96	22.17	21.02	3	10.16	0.69	1	76
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_1782_3_cobinding.tsv	46.29	18.67	20.71	3.07	10.48	0.77	1	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_104_lex_300_rex_300_site_peak_1782_3_cobinding.tsv	43.49	17.16	22.78	3.25	12.42	0.89	1	104
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_56_lex_300_rex_300_site_peak_2402_4_cobinding.tsv	67.05	5.68	9.09	1.14	17.05	0.0	1	56
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_2759_3_cobinding.tsv	82.79	0.82	4.1	0.82	10.66	0.82	1	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_99_lex_300_rex_300_site_peak_2759_4_cobinding.tsv	54.65	4.65	23.26	3.49	13.96	0.0	1	99
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_105_lex_300_rex_300_site_peak_580_5_cobinding.tsv	12.34	40.26	33.76	9.74	3.25	0.65	1	105
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_112_lex_300_rex_300_site_peak_3122_2_cobinding.tsv	51.75	6.14	19.29	4.39	17.54	0.88	1	112
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_1608_2_cobinding.tsv	58.28	7.36	11.65	2.15	19.02	1.53	1	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_160_lex_300_rex_300_site_peak_1608_2_cobinding.tsv	11.92	9.27	62.91	10.6	4.63	0.66	1	160
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_112_lex_300_rex_300_site_peak_1608_3_cobinding.tsv	10.73	21.46	50.58	12.26	4.98	0.0	1	112
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_898_1_cobinding.tsv	25.66	13.27	39.82	8.84	12.39	0.0	1	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_124_lex_300_rex_300_site_peak_898_1_cobinding.tsv	15.62	7.81	39.06	10.93	25	1.56	1	124
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_66_lex_300_rex_300_site_peak_898_2_cobinding.tsv	46.43	6.25	24.11	0.89	21.43	0.89	1	66
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_98_lex_300_rex_300_site_peak_535_5_cobinding.tsv	1.67	40.0	36.66	16.66	5	0.0	1	98
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_111_lex_300_rex_300_site_peak_995_1_cobinding.tsv	3.19	65.96	20.21	9.58	1.06	0.0	1	111
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_44_lex_300_rex_300_site_peak_683_1_cobinding.tsv	36.67	20.0	14.45	8.89	18.89	1.11	1	44
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_83_lex_300_rex_300_site_peak_1233_7_cobinding.tsv	33.61	18.49	28.57	5.88	12.6	0.84	1	83
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_1233_8_cobinding.tsv	35.56	20.74	24.44	5.19	13.34	0.74	1	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_4735_1_cobinding.tsv	14.06	35.94	28.13	15.62	6.25	0.0	1	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_39_lex_300_rex_300_site_peak_4735_2_cobinding.tsv	29.33	34.67	17.33	12	5.34	1.33	1	39
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_1351_1_cobinding.tsv	27.27	33.33	27.88	5.45	5.46	0.61	1	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_96_lex_300_rex_300_site_peak_1351_1_cobinding.tsv	7.56	45.38	31.09	8.4	7.56	0.0	1	96
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_140_lex_300_rex_300_site_peak_1351_1_cobinding.tsv	6.32	46.32	33.68	7.37	6.32	0.0	1	140
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_1351_2_cobinding.tsv	7.11	54.31	28.93	3.05	6.1	0.51	1	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_92_lex_300_rex_300_site_peak_1351_2_cobinding.tsv	6.43	53.22	32.16	4.09	4.09	0.0	1	92
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_138_lex_300_rex_300_site_peak_605_6_cobinding.tsv	33.78	6.76	40.54	10.81	8.1	0.0	1	138
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_123_lex_300_rex_300_site_peak_605_7_cobinding.tsv	30.0	11.11	40	10	8.89	0.0	1	123
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_605_9_cobinding.tsv	46.5	24.84	11.46	1.27	15.92	0.0	1	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_143_lex_300_rex_300_site_peak_3617_2_cobinding.tsv	41.49	3.19	17.02	1.06	35.1	2.13	1	143
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_39_lex_300_rex_300_site_peak_3617_4_cobinding.tsv	60.0	3.57	12.85	1.42	21.43	0.71	1	39
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_62_lex_300_rex_300_site_peak_3617_4_cobinding.tsv	43.52	2.78	26.85	2.78	23.15	0.93	1	62
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_63_lex_300_rex_300_site_peak_485_2_cobinding.tsv	22.5	36.67	27.5	9.17	4.17	0.0	1	63
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_130_lex_300_rex_300_site_peak_485_2_cobinding.tsv	16.44	32.88	35.62	9.59	5.48	0.0	1	130
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_50_lex_300_rex_300_site_peak_485_3_cobinding.tsv	26.32	36.84	25.57	3.01	7.52	0.75	1	50
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_485_3_cobinding.tsv	19.82	38.74	30.63	5.4	5.4	0.0	1	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_99_lex_300_rex_300_site_peak_485_7_cobinding.tsv	12.77	42.55	29.79	4.25	10.64	0.0	1	99
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_54_lex_300_rex_300_site_peak_485_9_cobinding.tsv	8.47	48.31	22.88	8.47	11.02	0.85	1	54
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_99_lex_300_rex_300_site_peak_3058_5_cobinding.tsv	6.61	39.67	43.8	6.61	3.31	0.0	1	99
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_96_lex_300_rex_300_site_peak_2836_1_cobinding.tsv	9.86	32.39	40.85	8.45	8.45	0.0	1	96
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_139_lex_300_rex_300_site_peak_3858_2_cobinding.tsv	9.46	17.57	58.11	9.46	5.41	0.0	1	139
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_44_lex_300_rex_300_site_peak_3858_3_cobinding.tsv	60.28	16.31	11.35	4.97	6.39	0.71	1	44
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_52_lex_300_rex_300_site_peak_4243_1_cobinding.tsv	80.08	5.39	4.97	0.83	8.71	0.0	1	52
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_71_lex_300_rex_300_site_peak_4243_1_cobinding.tsv	79.72	5.07	6.46	0.46	8.29	0.0	1	71
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_88_lex_300_rex_300_site_peak_4243_1_cobinding.tsv	75.69	4.97	9.94	1.1	8.28	0.0	1	88
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_36_lex_300_rex_300_site_peak_4243_2_cobinding.tsv	78.71	7.23	6.02	0.8	6.82	0.4	1	36
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_111_lex_300_rex_300_site_peak_2227_2_cobinding.tsv	12.66	30.38	20.89	14.56	20.89	0.63	1	111
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_125_lex_300_rex_300_site_peak_2227_4_cobinding.tsv	21.33	32.67	35.34	6.67	4	0.0	1	125
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_82_lex_300_rex_300_site_peak_3807_2_cobinding.tsv	37.96	28.7	19.44	4.63	8.33	0.93	1	82
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_63_lex_300_rex_300_site_peak_2026_1_cobinding.tsv	72.63	4.21	4.21	0	18.95	0.0	1	63
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_91_lex_300_rex_300_site_peak_135_6_cobinding.tsv	60.55	6.42	14.68	0.92	16.51	0.92	1	91
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_76_lex_300_rex_300_site_peak_2680_1_cobinding.tsv	28.04	20.56	25.24	10.28	14.95	0.93	1	76
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_55_lex_300_rex_300_site_peak_2680_7_cobinding.tsv	27.27	33.33	13.13	14.14	11.11	1.01	1	55
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_35_lex_300_rex_300_site_peak_4066_1_cobinding.tsv	72.48	5.5	7.34	1.84	11.92	0.92	1	35
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_4066_2_cobinding.tsv	47.12	6.73	24.03	4.81	17.31	0.0	1	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_122_lex_300_rex_300_site_peak_554_3_cobinding.tsv	50.53	0.0	12.63	1.05	35.79	0.0	1	122
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_87_lex_300_rex_300_site_peak_554_4_cobinding.tsv	48.7	2.61	10.44	2.61	35.65	0.0	1	87
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_118_lex_300_rex_300_site_peak_554_7_cobinding.tsv	21.57	7.84	54.9	7.84	7.84	0.0	1	118
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_105_lex_300_rex_300_site_peak_539_1_cobinding.tsv	5.62	23.6	55.06	7.87	7.86	0.0	1	105
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_54_lex_300_rex_300_site_peak_3570_1_cobinding.tsv	36.59	17.07	10.98	1.22	34.15	0.0	1	54
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_34_lex_300_rex_300_site_peak_2819_9_cobinding.tsv	80.77	4.4	6.59	0	8.25	0.0	1	34
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_4541_3_cobinding.tsv	4.24	8.47	66.95	15.25	4.24	0.85	1	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_101_lex_300_rex_300_site_peak_4541_3_cobinding.tsv	6.41	7.69	60.26	17.95	7.69	0.0	1	101
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_70_lex_300_rex_300_site_peak_4541_7_cobinding.tsv	60.0	1.18	4.7	2.35	30.59	1.18	1	70
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_3423_2_cobinding.tsv	21.05	20.18	42.98	8.77	7.01	0.0	1	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_86_lex_300_rex_300_site_peak_3423_4_cobinding.tsv	20.0	35.17	31.72	4.14	8.97	0.0	1	86
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_52_lex_300_rex_300_site_peak_3423_6_cobinding.tsv	12.5	45.0	29.38	6.26	6.25	0.62	1	52
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_94_lex_300_rex_300_site_peak_854_12_cobinding.tsv	75.7	0.47	7.48	0	16.35	0.0	1	94
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_50_lex_300_rex_300_site_peak_854_14_cobinding.tsv	80.08	2.03	2.44	0	15.04	0.41	1	50
