file_name_without_sam_flag	total_reads	total_naked	total_tf	total_nuc	occup_naked	occup_tf	occup_nuc	total_discard	occup_discard
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3118_1_binding_label.cond8.tsv	36	11	0	21	30.56	0.0	58.33	4	11.11
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2736_1_binding_label.cond8.tsv	282	16	6	239	5.67	2.13	84.75	21	7.45
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3056_1_binding_label.cond8.tsv	78	9	8	59	11.54	10.26	75.64	2	2.56
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4860_1_binding_label.cond8.tsv	57	5	6	44	8.77	10.53	77.19	2	3.51
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4162_1_binding_label.cond8.tsv	118	15	5	96	12.71	4.24	81.36	2	1.69
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_323_1_binding_label.cond8.tsv	126	15	4	105	11.9	3.17	83.33	2	1.59
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4195_1_binding_label.cond8.tsv	45	13	0	28	28.89	0.0	62.22	4	8.89
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5103_1_binding_label.cond8.tsv	88	53	5	29	60.23	5.68	32.95	1	1.14
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3518_1_binding_label.cond8.tsv	244	34	25	177	13.93	10.25	72.54	8	3.28
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5186_2_binding_label.cond8.tsv	51	2	7	41	3.92	13.73	80.39	1	1.96
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3700_1_binding_label.cond8.tsv	122	16	9	94	13.11	7.38	77.05	3	2.46
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2033_1_binding_label.cond8.tsv	69	15	6	48	21.74	8.7	69.57	0	0.0
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4830_1_binding_label.cond8.tsv	66	43	12	10	65.15	18.18	15.15	1	1.52
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2706_1_binding_label.cond8.tsv	141	11	2	120	7.8	1.42	85.11	8	5.67
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2709_1_binding_label.cond8.tsv	63	0	0	61	0.0	0.0	96.83	2	3.17
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3729_1_binding_label.cond8.tsv	169	25	4	135	14.79	2.37	79.88	5	2.96
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_904_1_binding_label.cond8.tsv	99	40	5	51	40.4	5.05	51.52	3	3.03
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3204_1_binding_label.cond8.tsv	71	9	0	61	12.68	0.0	85.92	1	1.41
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3850_1_binding_label.cond8.tsv	86	7	0	75	8.14	0.0	87.21	4	4.65
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1343_1_binding_label.cond8.tsv	342	119	22	183	34.8	6.43	53.51	18	5.26
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4329_1_binding_label.cond8.tsv	89	23	10	51	25.84	11.24	57.3	5	5.62
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4875_1_binding_label.cond8.tsv	116	4	0	110	3.45	0.0	94.83	2	1.72
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2591_1_binding_label.cond8.tsv	167	49	22	85	29.34	13.17	50.9	11	6.59
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2813_1_binding_label.cond8.tsv	102	9	6	82	8.82	5.88	80.39	5	4.9
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_868_1_binding_label.cond8.tsv	129	74	22	31	57.36	17.05	24.03	2	1.55
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1700_1_binding_label.cond8.tsv	148	11	5	130	7.43	3.38	87.84	2	1.35
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5214_1_binding_label.cond8.tsv	181	124	12	37	68.51	6.63	20.44	8	4.42
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4809_1_binding_label.cond8.tsv	116	11	14	89	9.48	12.07	76.72	2	1.72
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1663_1_binding_label.cond8.tsv	144	93	21	24	64.58	14.58	16.67	6	4.17
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4199_1_binding_label.cond8.tsv	110	5	2	96	4.55	1.82	87.27	7	6.36
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_262_1_binding_label.cond8.tsv	153	81	8	60	52.94	5.23	39.22	4	2.61
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_702_1_binding_label.cond8.tsv	50	7	12	27	14.0	24.0	54.0	4	8.0
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5481_1_binding_label.cond8.tsv	117	3	0	112	2.56	0.0	95.73	2	1.71
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4871_1_binding_label.cond8.tsv	95	14	5	70	14.74	5.26	73.68	6	6.32
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4252_1_binding_label.cond8.tsv	95	17	5	68	17.89	5.26	71.58	5	5.26
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_948_1_binding_label.cond8.tsv	124	22	1	95	17.74	0.81	76.61	6	4.84
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4380_1_binding_label.cond8.tsv	34	1	4	28	2.94	11.76	82.35	1	2.94
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_982_1_binding_label.cond8.tsv	165	11	10	129	6.67	6.06	78.18	15	9.09
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4116_1_binding_label.cond8.tsv	93	2	4	81	2.15	4.3	87.1	6	6.45
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4751_1_binding_label.cond8.tsv	126	31	1	88	24.6	0.79	69.84	6	4.76
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1648_1_binding_label.cond8.tsv	111	28	2	72	25.23	1.8	64.86	9	8.11
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5464_1_binding_label.cond8.tsv	62	1	2	56	1.61	3.23	90.32	3	4.84
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4511_1_binding_label.cond8.tsv	68	14	3	43	20.59	4.41	63.24	8	11.76
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3630_1_binding_label.cond8.tsv	120	20	4	94	16.67	3.33	78.33	2	1.67
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4091_1_binding_label.cond8.tsv	321	86	10	213	26.79	3.12	66.36	12	3.74
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_654_1_binding_label.cond8.tsv	136	41	17	72	30.15	12.5	52.94	6	4.41
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1411_1_binding_label.cond8.tsv	150	28	15	102	18.67	10.0	68.0	5	3.33
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4925_1_binding_label.cond8.tsv	86	23	7	54	26.74	8.14	62.79	2	2.33
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4826_1_binding_label.cond8.tsv	159	11	4	140	6.92	2.52	88.05	4	2.52
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4153_1_binding_label.cond8.tsv	46	1	1	41	2.17	2.17	89.13	3	6.52
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3127_1_binding_label.cond8.tsv	157	25	0	126	15.92	0.0	80.25	6	3.82
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2770_1_binding_label.cond8.tsv	148	5	0	133	3.38	0.0	89.86	10	6.76
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3161_1_binding_label.cond8.tsv	93	43	0	48	46.24	0.0	51.61	2	2.15
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4401_1_binding_label.cond8.tsv	64	6	3	52	9.38	4.69	81.25	3	4.69
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2427_1_binding_label.cond8.tsv	142	99	24	14	69.72	16.9	9.86	5	3.52
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2576_1_binding_label.cond8.tsv	195	17	24	147	8.72	12.31	75.38	7	3.59
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5178_1_binding_label.cond8.tsv	143	18	2	119	12.59	1.4	83.22	4	2.8
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2104_1_binding_label.cond8.tsv	78	7	1	67	8.97	1.28	85.9	3	3.85
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3559_1_binding_label.cond8.tsv	106	8	7	86	7.55	6.6	81.13	5	4.72
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5221_1_binding_label.cond8.tsv	173	12	5	149	6.94	2.89	86.13	7	4.05
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2032_1_binding_label.cond8.tsv	75	31	8	32	41.33	10.67	42.67	4	5.33
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3054_1_binding_label.cond8.tsv	83	19	5	53	22.89	6.02	63.86	6	7.23
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4561_1_binding_label.cond8.tsv	88	16	1	69	18.18	1.14	78.41	2	2.27
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4632_1_binding_label.cond8.tsv	148	11	13	121	7.43	8.78	81.76	3	2.03
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4779_1_binding_label.cond8.tsv	161	55	18	84	34.16	11.18	52.17	4	2.48
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4905_1_binding_label.cond8.tsv	99	7	5	79	7.07	5.05	79.8	8	8.08
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5002_1_binding_label.cond8.tsv	83	9	7	63	10.84	8.43	75.9	4	4.82
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4812_1_binding_label.cond8.tsv	153	8	1	137	5.23	0.65	89.54	7	4.58
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2347_1_binding_label.cond8.tsv	150	18	3	124	12.0	2.0	82.67	5	3.33
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5448_1_binding_label.cond8.tsv	160	25	9	119	15.62	5.62	74.38	7	4.38
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2192_1_binding_label.cond8.tsv	136	24	7	96	17.65	5.15	70.59	9	6.62
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5224_1_binding_label.cond8.tsv	128	70	22	32	54.69	17.19	25.0	4	3.12
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_818_1_binding_label.cond8.tsv	80	5	1	73	6.25	1.25	91.25	1	1.25
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5031_1_binding_label.cond8.tsv	132	29	10	90	21.97	7.58	68.18	3	2.27
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2136_1_binding_label.cond8.tsv	136	33	11	88	24.26	8.09	64.71	4	2.94
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3630_2_binding_label.cond8.tsv	90	20	6	60	22.22	6.67	66.67	4	4.44
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3508_1_binding_label.cond8.tsv	119	20	13	82	16.81	10.92	68.91	4	3.36
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2414_1_binding_label.cond8.tsv	141	23	4	110	16.31	2.84	78.01	4	2.84
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1035_1_binding_label.cond8.tsv	179	37	11	125	20.67	6.15	69.83	6	3.35
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_671_1_binding_label.cond8.tsv	108	9	3	89	8.33	2.78	82.41	7	6.48
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2638_1_binding_label.cond8.tsv	110	8	4	94	7.27	3.64	85.45	4	3.64
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4131_1_binding_label.cond8.tsv	93	69	14	5	74.19	15.05	5.38	5	5.38
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1452_1_binding_label.cond8.tsv	74	15	1	56	20.27	1.35	75.68	2	2.7
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2591_2_binding_label.cond8.tsv	142	32	11	96	22.54	7.75	67.61	3	2.11
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2146_1_binding_label.cond8.tsv	81	6	3	71	7.41	3.7	87.65	1	1.23
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2915_1_binding_label.cond8.tsv	73	8	0	59	10.96	0.0	80.82	6	8.22
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2113_1_binding_label.cond8.tsv	150	39	9	98	26.0	6.0	65.33	4	2.67
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_405_1_binding_label.cond8.tsv	214	36	12	158	16.82	5.61	73.83	8	3.74
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_383_1_binding_label.cond8.tsv	123	35	7	77	28.46	5.69	62.6	4	3.25
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1502_1_binding_label.cond8.tsv	92	13	4	71	14.13	4.35	77.17	4	4.35
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2058_1_binding_label.cond8.tsv	149	70	14	52	46.98	9.4	34.9	13	8.72
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5344_1_binding_label.cond8.tsv	91	8	6	75	8.79	6.59	82.42	2	2.2
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_726_1_binding_label.cond8.tsv	123	10	0	110	8.13	0.0	89.43	3	2.44
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2142_1_binding_label.cond8.tsv	147	8	5	131	5.44	3.4	89.12	3	2.04
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5123_1_binding_label.cond8.tsv	148	15	0	130	10.14	0.0	87.84	3	2.03
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2149_1_binding_label.cond8.tsv	41	10	1	30	24.39	2.44	73.17	0	0.0
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4118_1_binding_label.cond8.tsv	118	75	8	31	63.56	6.78	26.27	4	3.39
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_856_1_binding_label.cond8.tsv	47	4	1	41	8.51	2.13	87.23	1	2.13
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5356_1_binding_label.cond8.tsv	50	7	1	36	14.0	2.0	72.0	6	12.0
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_328_1_binding_label.cond8.tsv	92	4	10	73	4.35	10.87	79.35	5	5.43
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2717_1_binding_label.cond8.tsv	92	6	3	81	6.52	3.26	88.04	2	2.17
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_868_2_binding_label.cond8.tsv	123	79	9	28	64.23	7.32	22.76	7	5.69
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1765_1_binding_label.cond8.tsv	140	82	19	35	58.57	13.57	25.0	4	2.86
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4747_1_binding_label.cond8.tsv	155	89	10	54	57.42	6.45	34.84	2	1.29
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4423_1_binding_label.cond8.tsv	167	12	1	149	7.19	0.6	89.22	5	2.99
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2139_1_binding_label.cond8.tsv	50	25	7	17	50.0	14.0	34.0	1	2.0
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_360_1_binding_label.cond8.tsv	67	23	3	40	34.33	4.48	59.7	1	1.49
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3478_1_binding_label.cond8.tsv	205	13	4	184	6.34	1.95	89.76	4	1.95
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4718_1_binding_label.cond8.tsv	165	4	0	158	2.42	0.0	95.76	3	1.82
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4864_1_binding_label.cond8.tsv	199	14	87	94	7.04	43.72	47.24	4	2.01
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3135_1_binding_label.cond8.tsv	132	34	10	84	25.76	7.58	63.64	4	3.03
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3198_1_binding_label.cond8.tsv	104	18	8	72	17.31	7.69	69.23	6	5.77
